=== Unit Price List VBA Log ===
Started    : 2026-05-28 13:39:04
User       : g-support
Machine    : DY25DT018
Workbook   : https://daitetsu.sharepoint.com/sites/railway-orders/Shared Documents/単価マスタ/単価一覧表作成ツール.xlsm

2026-05-28 13:39:04  起動しました。
2026-05-28 13:39:04  単価マスタフォルダ: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ
2026-05-28 13:39:04  参照指定: \\dt-ims\公開フォルダ\090_線路本部\008_単価契約関係\2026年度 R8年度単価契約工事
2026-05-28 13:39:04  線区フォルダ起点: \\dt-ims\公開フォルダ\090_線路本部\008_単価契約関係\2026年度 R8年度単価契約工事\01_在来線
2026-05-28 13:39:30  本部支社フォルダなし。保線区フォルダ直下形式として処理します: 01_在来線 / \\dt-ims\公開フォルダ\090_線路本部\008_単価契約関係\2026年度 R8年度単価契約工事\01_在来線\単価一覧表2026\04_単価改定（5月契約）\単価一覧表2026(変)2026.5
2026-05-28 13:39:30  対象フォルダ検出: 01_在来線 / \\dt-ims\公開フォルダ\090_線路本部\008_単価契約関係\2026年度 R8年度単価契約工事\01_在来線\単価一覧表2026\02_通常単契（2月契約）
2026-05-28 13:39:31  対象フォルダ検出: 01_在来線 / \\dt-ims\公開フォルダ\090_線路本部\008_単価契約関係\2026年度 R8年度単価契約工事\01_在来線\単価一覧表2026\01_早期発注（1月契約）
2026-05-28 13:39:31  線区フォルダ起点: \\dt-ims\公開フォルダ\090_線路本部\008_単価契約関係\2026年度 R8年度単価契約工事\02_新幹線
2026-05-28 13:39:33  本部支社フォルダなし。保線区フォルダ直下形式として処理します: 02_新幹線 / \\dt-ims\公開フォルダ\090_線路本部\008_単価契約関係\2026年度 R8年度単価契約工事\02_新幹線
2026-05-28 13:39:33  処理対象フォルダ数: 8
2026-05-28 13:39:34  工事件名数: 10
2026-05-28 13:39:34  工事件名別マスタ: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\工事件名別マスタ\①軌道整備他.xlsx / コード 1
2026-05-28 13:39:34  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1201大阪保線区\2026\設計変更単価\設計変更_2026_1201大阪保線区_①軌道整備他.xlsx
2026-05-28 13:39:34  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1201大阪保線区\2026\設計変更単価\設計変更_2026_1201大阪保線区_①軌道整備他.xlsx
2026-05-28 13:39:34  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1201大阪保線区\2026\設計変更単価\設計変更_2026_1201大阪保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1201大阪保線区\2026\設計変更単価\設計変更_2026_1201大阪保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1201大阪保線区\2026\設計変更単価\設計変更_2026_1201大阪保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1201大阪保線区\2026\設計変更単価\設計変更_2026_1201大阪保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1201大阪保線区\2026\設計変更単価\設計変更_2026_1201大阪保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:35  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1202天王寺保線区\2026\設計変更単価\設計変更_2026_1202天王寺保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1205大和路線保線区\2026\設計変更単価\設計変更_2026_1205大和路線保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1205大和路線保線区\2026\設計変更単価\設計変更_2026_1205大和路線保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1205大和路線保線区\2026\設計変更単価\設計変更_2026_1205大和路線保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1205大和路線保線区\2026\設計変更単価\設計変更_2026_1205大和路線保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1205大和路線保線区\2026\設計変更単価\設計変更_2026_1205大和路線保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1205大和路線保線区\2026\設計変更単価\設計変更_2026_1205大和路線保線区_①軌道整備他.xlsx
2026-05-28 13:39:36  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1205大和路線保線区\2026\設計変更単価\設計変更_2026_1205大和路線保線区_①軌道整備他.xlsx
2026-05-28 13:39:37  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\0601和歌山保線区\2026\設計変更単価\設計変更_2026_0601和歌山保線区_①軌道整備他.xlsx
2026-05-28 13:39:37  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\0601和歌山保線区\2026\設計変更単価\設計変更_2026_0601和歌山保線区_①軌道整備他.xlsx
2026-05-28 13:39:37  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\0601和歌山保線区\2026\設計変更単価\設計変更_2026_0601和歌山保線区_①軌道整備他.xlsx
2026-05-28 13:39:37  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\0601和歌山保線区\2026\設計変更単価\設計変更_2026_0601和歌山保線区_①軌道整備他.xlsx
2026-05-28 13:39:37  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\0601和歌山保線区\2026\設計変更単価\設計変更_2026_0601和歌山保線区_①軌道整備他.xlsx
2026-05-28 13:39:37  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1104京都保線区\2026\設計変更単価\設計変更_2026_1104京都保線区_①軌道整備他.xlsx
2026-05-28 13:39:37  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1104京都保線区\2026\設計変更単価\設計変更_2026_1104京都保線区_①軌道整備他.xlsx
2026-05-28 13:39:38  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1104京都保線区\2026\設計変更単価\設計変更_2026_1104京都保線区_①軌道整備他.xlsx
2026-05-28 13:39:38  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1104京都保線区\2026\設計変更単価\設計変更_2026_1104京都保線区_①軌道整備他.xlsx
2026-05-28 13:39:38  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1104京都保線区\2026\設計変更単価\設計変更_2026_1104京都保線区_①軌道整備他.xlsx
2026-05-28 13:39:38  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1104京都保線区\2026\設計変更単価\設計変更_2026_1104京都保線区_①軌道整備他.xlsx
2026-05-28 13:39:38  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1104京都保線区\2026\設計変更単価\設計変更_2026_1104京都保線区_①軌道整備他.xlsx
2026-05-28 13:39:38  スキップ: 出力ファイルが既に存在します: C:\Users\g-support\大鉄工業株式会社\線路出張所用_注文書_請求書アクセスサイト - ドキュメント\単価マスタ\単価データ\01_在来線\近畿統括本部\1102草津保線区\2026\設計変更単価\設計変更_2026_1102草津保線区_①軌道整備他.xlsx
